food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed
DR045,"Daun kumak, segar",KZGPI-1990,"95,2",14,"1,3","0,3","2,3","0,9","0,9",90,59,"2,7","1,9","36,5","0,1","0,3",,1274,2961,"0,01",0,"0,5",3,78,D,DR,S,Sayur,tkpi_main_group,"daun kumak, segar",daun kumak,daun kumak,1 gelas,100,False,False,False,False
DR046,"Daun labu siam, segar",DABM-1964,"89,7",34,4,"0,4","4,7","3,5","1,2",58,70,"2,5","15,9","630,7","0,2","0,3",,4773,2025,"0,08","0,4","1,7",16,100,D,DR,S,Sayur,tkpi_main_group,"daun labu siam, segar",daun labu siam,daun labu siam,1 gelas,100,False,False,False,False
DR047,"Daun labu waluh/kuning, segar",DABM-1964,"89,7",34,"3,6","0,6","4,5","2,9","1,6",138,99,"3,7","15,9","630,7","0,2","0,3",,1258,2750,"0,14","0,2","1,3",36,70,D,DR,S,Sayur,tkpi_main_group,"daun labu waluh/kuning, segar",daun labu waluh kuning,daun labu waluh kuning,1 gelas,100,False,False,False,False
DR048,"Daun lamtoro, segar",KZGPI-1990,74,87,"8,3","1,8","14,4","3,3","1,5",725,174,"3,9","10,1","197,7","0,5","1,4",0,6900,13040,0,"0,1","2,3",32,40,D,DR,S,Sayur,tkpi_main_group,"daun lamtoro, segar",daun lamtoro,daun lamtoro,1 gelas,100,False,False,False,False
DR049,"Daun leilem, segar",KZGMI-2001,"79,4",76,"2,8","0,2","15,8","3,1","1,8",296,22,"3,4",6,46,"0,5","1,1",,753,,"0,3","0,1","2,5",22,90,D,DR,S,Sayur,tkpi_main_group,"daun leilem, segar",daun leilem,daun leilem,1 gelas,100,False,False,False,False
DR050,"Daun leunca, segar",DABM-1964,85,49,"4,7","0,5","8,1",,"1,7",210,80,"6,1",,,,,,,1900,"0,14",,,40,70,D,DR,S,Sayur,tkpi_main_group,"daun leunca, segar",daun leunca,daun leunca,1 gelas,100,False,False,False,False
DR051,"Daun lobak, segar",DKBM-1964,90,30,"2,3","0,4","5,8","3,2","1,4",140,33,"3,7","15,8","747,4","0,2","0,2",,5039,1000,"0,07","1,1","6,5",109,70,D,DR,S,Sayur,tkpi_main_group,"daun lobak, segar",daun lobak,daun lobak,1 gelas,100,False,False,False,False
DR052,"Daun lompong talas, segar",DABM-1964,"87,2",44,3,"0,8","7,4","3,3","1,6",76,59,1,"2,7","578,4","0,2","0,4",,2584,2000,"0,08","0,4","1,4",31,75,D,DR,S,Sayur,tkpi_main_group,"daun lompong talas, segar",daun lompong talas,daun lompong talas,1 gelas,100,False,False,False,False
DR053,"Daun mangkokan, segar",DABM-1964,82,57,"3,7","0,3","11,8",,"2,2",474,49,4,,,,,,,5450,"0,06",,,83,80,D,DR,S,Sayur,tkpi_main_group,"daun mangkokan, segar",daun mangkokan,daun mangkokan,1 gelas,100,False,False,False,False
DR054,"Daun matel ambon, segar",KZGPI-1990,"77,1",71,"6,8","1,6","11,5","4,6",3,93,95,"10,2",,,,,0,,49,"0,08",,,26,100,D,DR,S,Sayur,tkpi_main_group,"daun matel ambon, segar",daun matel ambon,daun matel ambon,1 gelas,100,False,False,False,False
DR055,"Daun melinjo, segar",DABM-1964,"70,8",104,5,"1,3","21,3","10,3","1,6",219,82,"4,2","12,2","604,8","0,4","0,6",,823,10000,"0,09",,,182,88,D,DR,S,Sayur,tkpi_main_group,"daun melinjo, segar",daun melinjo,daun melinjo,1 gelas,100,False,False,False,False
DR056,"Daun mengkudu, segar",KZGPI-1990,"80,9",65,4,"1,7","11,4","3,9",2,296,40,"6,9",,,,,0,2,4958,"0,01","0,1","5,7",35,90,D,DR,S,Sayur,tkpi_main_group,"daun mengkudu, segar",daun mengkudu,daun mengkudu,1 gelas,100,False,False,False,False
DR057,"Daun ndusuk, segar",KZGMI-2001,56,166,"1,7","0,5","38,8","10,7",3,40,20,"1,8",40,310,"0,2","0,7",,14457,,"0,4","0,1","0,1",30,,D,DR,S,Sayur,tkpi_main_group,"daun ndusuk, segar",daun ndusuk,daun ndusuk,1 gelas,100,False,False,False,False
DR058,"Daun oyong, segar",DABM-1964,93,22,1,"0,1","5,3",2,"0,6",21,44,2,"39,9","295,5","0,1","0,2",,855,1000,"0,08","0,1","0,8",150,65,D,DR,S,Sayur,tkpi_main_group,"daun oyong, segar",daun oyong,daun oyong,1 gelas,100,False,False,False,False
