food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,urt_qty,urt_unit,gram_per_portion,food_name_std
HR010,"Telur penyu, segar",KZGMI-2001,"77,4",136,"8,6","10,1","2,7",0,"1,2",66,282,"3,4",478,115,"0,5","1,4",82,17,,"0,21","0,02",0,0,90,H,HR,LH,Lauk Hewani,tkpi_main_group,telur penyu,telur penyu,telur penyu,,,,,telur penyu
HR011,"Telur burung puyuh, segar",FCTEA-1972,"79,8",116,"10,7",7,"1,6",0,"0,9",65,191,"3,5",111,11,"0,05","1,2",95,80,,"0,13","0,65","0,1",0,100,H,HR,LH,Lauk Hewani,tkpi_main_group,telur burung puyuh,telur burung puyuh,telur burung puyuh,,,,,telur burung puyuh
HP001,"Telur ayam, dadar, masakan",KZGPI-1990,"61,9",251,"16,3","19,4","1,4",0,1,62,250,"2,5",,,,,36,,221,"0,21",0,,0,100,H,HP,LH,Lauk Hewani,tkpi_main_group,"telur ayam, dadar, masakan","telur ayam, dadar","telur ayam, dadar",,,,,"telur ayam, dadar, masakan"
HP002,"Telur bebek, asin, mentah",DABM-60/64,"66,5",179,"13,6","13,3","4,4",0,"2,2",120,157,"1,8",483,"140,1",,,253,13,,"0,28","0,98","0,6",0,83,H,HP,LH,Lauk Hewani,tkpi_main_group,"telur bebek, asin, mentah","telur bebek, asin","telur bebek, asin",,,,,"telur bebek, asin, mentah"
HP003,"Telur bebek, dadar, masakan",KZGPI-1990,"55,1",301,20,"23,7",0,0,"1,2",71,600,"9,2",,,,,122,,613,"0,35",,,0,100,H,HP,LH,Lauk Hewani,tkpi_main_group,"telur bebek, dadar, masakan","telur bebek, dadar","telur bebek, dadar",,,,,"telur bebek, dadar, masakan"
HP004,"Ikan, telur, asin, mentah",KZGMI-2001,"37,8",358,"20,7","26,4","9,4",0,"5,7",48,311,"15,1",2684,59,"0,4",3,1866,0,,"0,21","0,54","2,1",,100,H,HP,LH,Lauk Hewani,tkpi_main_group,"ikan, telur, asin, mentah","ikan, telur, asin","ikan, telur, asin",,,,,"ikan, telur, asin, mentah"
HP005,"Bayau mi balu, masakan",KGZMI-2001,"36,1",313,6,"12,2","44,8",,"0,9",,,,,,,,783,89,,"0,14","0,27","9,7",,100,H,HP,LH,Lauk Hewani,tkpi_main_group,"bayau mi balu, masakan",bayau mi balu,bayau mi balu,,,,,"bayau mi balu, masakan"
HP006,"Cucuru bayau, masakan",KGZMI-2001,35,349,"6,8","18,7","38,3",,"1,2",,,,,,,,,123,,"0,06","0,25",0,,100,H,HP,LH,Lauk Hewani,tkpi_main_group,"cucuru bayau, masakan",cucuru bayau,cucuru bayau,,,,,"cucuru bayau, masakan"
HP007,"Kalio telur, masakan",KZGMS-1993,"65,9",193,"10,6","12,4","9,7",,"1,4",148,246,"3,8",540,,,,160,,3600,"0,44",,,0,100,H,HP,LH,Lauk Hewani,tkpi_main_group,"kalio telur, masakan",kalio telur,kalio telur,,,,,"kalio telur, masakan"
JR001,"Kepala susu - krim, segar",DABM-1964,"72,5",204,"2,6",20,4,0,"0,9",97,77,"0,1",,,,,252,191,,"0,03","0,2","0,1",1,100,J,JR,SS,Susu,tkpi_main_group,kepala susu - krim,kepala susu - krim,kepala susu - krim,,,,,kepala susu - krim
JR002,Susu ibu - ASI,FCTEA-1972,"88,1",62,"1,5","3,2",7,0,"0,2",34,20,"0,2",15,41,"0,01","0,4",,7,,"0,01","0,03","0,2",,100,J,JR,SS,Susu,tkpi_main_group,susu ibu - asi,susu ibu - asi,susu ibu - asi,,,,,susu ibu - asi
JR003,"Susu kambing, segar",DABM-1964,"85,9",64,"4,3","2,3","6,6",0,"0,9",98,78,"2,7",35,160,"0,33","0,1",38,0,,"0,06","0,45","0,3",1,100,J,JR,SS,Susu,tkpi_main_group,susu kambing,susu kambing,susu kambing,3/4 gelas,0.75,gelas,185,susu kambing
