food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ABU (g),calcium_mg_100g,FOSFOR (mg),BESI (mg),sodium_mg_100g,potassium_mg_100g,TEMBAGA (mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR-TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT C (mg),bdd_percent,food_name_normalized,category,category_source,urt_food_name,urt,gram_per_portion,similarity_score,match_type_fuzzy,match_type,URT,is_usable_for_recommendation,energy_kcal_portion,protein_g_portion,fat_g_portion,carb_g_portion,sodium_mg_portion,potassium_mg_portion,calcium_mg_portion,processing_status,restricted_processed_flag,macro_count
AP091,Nasi minyak,KZGMI-2001,53.3,207,3.5,5.0,37.1,0.8,1.1,100.0,26,1.5,174.0,74.0,0.20,0,0,2.2,0.14,2.6,0.07,-,100,0.0,minyak nasi,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,310.5,5.25,7.5,55.650000000000006,261.0,111.0,150.0,Non-Olahan,False,4
AP098,Pundut nasi,KZGMI-2001,77.8,104,1.9,4.1,15.1,0.4,1.1,1.5,100,26,74.0,174.0,0.00,0.0,-,-,-,-,-,-,100,,nasi pundut,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,156.0,2.8499999999999996,6.1499999999999995,22.65,111.0,261.0,2.25,Non-Olahan,False,4
CR005,"Kacang bogor, kering",DABM-1964,10,370,16.0,6.0,65.0,"26,3",3,85.0,264,"4,2",44.0,,"1,48","2,7",0,,,"0,18","0,26","6,2",0,100.0,bogor kacang,LN,code_prefix,,,75.0,,no_match,smart_portion_default,1/2 Gelas,True,277.5,12.0,4.5,48.75,33.0,,63.75,Non-Olahan,False,4
CR007,"Kacang endel, biji, kering",DABM-1964,14,331,25.0,1.0,58.0,"23,6",2,80.0,400,5,12.0,,"0,68","2,7",0,,,"0,3","0,75","2,3",,95.0,biji endel kacang,LN,code_prefix,,,75.0,,no_match,smart_portion_default,1/2 Gelas,True,248.25,18.75,0.75,43.5,9.0,,60.0,Non-Olahan,False,4
CR010,"Kacang gude, biji, kering",KZGPI-1990,"16,1",316,,1.0,58.0,"4,6","4,2",146.0,445,"4,7",16.0,,"0,99","2,7",,19,,"0,3","0,19","2,4",,100.0,biji gude kacang,LN,code_prefix,,,75.0,,no_match,smart_portion_default,1/2 Gelas,True,237.0,,0.75,43.5,12.0,,109.5,Non-Olahan,False,3
CR019,"Kacang kincai, kering",KZGMI-2001,"4,2",444,,16.0,55.0,,"4,9",26.0,,,,,,,,,,"0,1","0,1","1,9",,,kacang kincai,LN,code_prefix,,,75.0,,no_match,smart_portion_default,1/2 Gelas,True,333.0,,12.0,41.25,,,19.5,Non-Olahan,False,3
CR021,"Kacang kuning, kering",KZGMI-2001,"11,7",355,17.0,,66.0,"15,1","2,8",140.0,220,"5,8",1.0,0.0,"0,7","3,2",,58,,"0,47","0,08","1,9",,,kacang kuning,LN,code_prefix,,,75.0,,no_match,smart_portion_default,1/2 Gelas,True,266.25,12.75,,49.5,0.75,0.0,105.0,Non-Olahan,False,3
CR027,"Kacang merah, segar",KZGPI- l990,"57,2",171,11.0,,28.0,"2,1","1,7",293.0,134,"3,7",7.0,,"0,34","1,4",,0,10,"0,15","0,15","1,1",,100.0,kacang merah,LN,code_prefix,Kacang Merah,2 Sendok Makan,25.0,100.0,exact_name,normalized_urt,2 Sendok Makan,True,42.75,2.75,,7.0,1.75,,73.25,Non-Olahan,False,3
CP009,"Kacang merah segar, rebus",KZGPI- l990,"63,1",144,10.0,1.0,,"3,5","1,2",144.0,150,"2,8",6.0,311.0,"0,27","1,5",,0,,"0,1","0,08","0,7",,100.0,kacang merah,LN,code_prefix,Kacang Merah,2 Sendok Makan,25.0,100.0,exact_name,normalized_urt,2 Sendok Makan,True,36.0,2.5,0.25,,1.5,77.75,36.0,Non-Olahan,False,3
CP013,"Kacang tanah, rebus",KZGPI- l990,"62,1",220,,18.0,8.0,1,"1,3",89.0,273,"1,9",36.0,,"1,78","2,2",,,,"0,1",,,0,100.0,kacang tanah,LN,code_prefix,,,75.0,,no_match,smart_portion_default,1/2 Gelas,True,165.0,,13.5,6.0,27.0,,66.75,Non-Olahan,False,3
CP021,Bungkil kacang tanah,DABM-1964,15,365,45.0,13.0,17.0,,"33,1",730.0,470,"30,7",,,,,0,,,"0,04",,,,100.0,bungkil kacang tanah,LN,code_prefix,,,75.0,,no_match,smart_portion_default,1/2 Gelas,True,273.75,33.75,9.75,12.75,,,547.5,Non-Olahan,False,4
CP036,Keju kacang tanah (peanut butter),DABM-1964,3,590,27.0,49.0,,"1,6","0,1",60.0,360,2,355.0,,"0,57","2,7",0,0,,"0,3","0,2","16,2",0,100.0,butter kacang keju peanut tanah,LN,code_prefix,,,75.0,,no_match,smart_portion_default,1/2 Gelas,True,442.5,20.25,36.75,,266.25,,45.0,Non-Olahan,False,3
CP050,Moon tahu,KZGMS-1993,"79,9",128,8.0,10.0,,"0,2","0,8",205.0,92,"2,5",393.0,,,,131,,5300,"0,46",,,0,100.0,moon tahu,LN,code_prefix,,,100.0,,no_match,smart_portion_default,1/2 Piring,True,128.0,8.0,10.0,,393.0,,205.0,Non-Olahan,False,3
CP051,Oncom,DABM-1964,57,187,13.0,6.0,,,"1,4",96.0,115,27,,,,,0,,,"0,09",0,"1,6",0,100.0,oncom,LN,code_prefix,Oncom,2 Potong Besar,50.0,100.0,exact_name,normalized_urt,2 Potong Besar,True,93.5,6.5,3.0,,,,48.0,Non-Olahan,False,3
